"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Anthicus sellatus",Anthicus,Anthicini,Anthicinae,Anthicidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU•,Ja,"(Panzer, 1796)",,Sandpilere,
"Anthobium atrocephalum",Anthobium,Anthophagini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gyllenhal, 1827)",,Rovbiller,
"Anthobium fusculum",Anthobium,Anthophagini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Erichson, 1839)",,Rovbiller,
"Anthobium unicolor",Anthobium,Anthophagini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Marsham, 1802)",,Rovbiller,
"Anthocomus fasciatus",Anthocomus,Malachiini,Malachiinae,Malachiidae,Cleroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",,,
"Anthocomus rufus",Anthocomus,Malachiini,Malachiinae,Malachiidae,Cleroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1784)",,,coccineus
"Anthonomus bituberculatus",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Thomson, 1868",,Snudebiller,
"Anthonomus brunnipennis",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Anthonomus brunnipennis Curtis, 1840, en overset snudebille (Coleoptera, Curculionidae). Entomologiske Meddelelser 59: 127-130",LC,Ja,"Curtis, 1840",,Snudebiller,
"Anthonomus conspersus",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Desbrochers des Loges, 1868",,Snudebiller,
"Anthonomus humeralis",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Panzer, 1795)",,Snudebiller,
"Anthonomus pedicularius",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",,Snudebiller,
"Anthonomus phyllocola",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1795)",,Snudebiller,varians
"Anthonomus pomorum",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",Æblesnudebille,Snudebiller,
"Anthonomus rubi",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1795)",Hindbærsnudebille,Snudebiller,
"Anthonomus rufus",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Gyllenhal, 1836",,Snudebiller,
"Anthonomus sorbi",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Germar, 1821",,Snudebiller,
"Anthonomus ulmi",Anthonomus,Anthonomini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(De Geer, 1775)",Elmesnudebille,Snudebiller,inversus
"Anthophagus caraboides",Anthophagus,Anthophagini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",,Rovbiller,
"Anthracus consputus",Anthracus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Duftschmid, 1812)","Forlænget moseløber",Løbebiller,
"Anthracus elegans",Anthracus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Fund af biller i Danmark 2012 og 2013 (Coleoptera). Entomologiske Meddelelser 82: 113-168",,Ja,"(Duftschmid, 1812)",,Løbebiller,
"Anthrenus flavipes",Anthrenus,Anthrenini,Megatominae,Dermestidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NA,Ja,"LeConte, 1854",,Klannere,
"Anthrenus fuscus",Anthrenus,Anthrenini,Megatominae,Dermestidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Oliver, 1790",,Klannere,
"Anthrenus museorum",Anthrenus,Anthrenini,Megatominae,Dermestidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1761)",Museumsklanner,Klannere,
"Anthrenus pimpinellae",Anthrenus,Anthrenini,Megatominae,Dermestidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Fabricius, 1775",Fugleredeklanner,Klannere,
"Anthrenus verbasci",Anthrenus,Anthrenini,Megatominae,Dermestidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1767)",Tæppeklanner,Klannere,
"Anthribus fasciatus",Anthribus,Stenocerini,Anthribinae,Anthribidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"Forster, 1770",,Bredsnudebiller,
"Anthribus nebulosus",Anthribus,Stenocerini,Anthribinae,Anthribidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Forster, 1770",,Bredsnudebiller,
"Anthribus scapularis",Anthribus,Stenocerini,Anthribinae,Anthribidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Gebler, 1833",,Bredsnudebiller,
"Apalochrus femoralis",Apalochrus,Apalochrini,Malachiinae,Malachiidae,Cleroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Erichson, 1840)",,,
"Apalus bimaculatus",Apalus,Nemognathini,Nemognathinae,Meloidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT,Ja,"(Linnaeus, 1760)",Klitplasterbille,Oliebiller,
"Aphanisticus pusillus",Aphanisticus,Aphanisticini,Agrilinae,Buprestidae,Buprestoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Olivier, 1790)",Strandpragtbille,Pragtbiller,
"Aphidecta obliterata",Aphidecta,Coccinellini,Coccinellinae,Coccinellidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)","Uplettet mariehøne",Mariehøns,
"Aphodius arenarius",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"(Olivier, 1789)",Dværgmøgbille,Torbister,putridus
"Aphodius ater",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(DeGeer, 1774)","Matsort møgbille",Torbister,
"Aphodius borealis",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Gyllenhal, 1827",,Torbister,
"Aphodius brevis",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",EN,Ja,"Erichson, 1848","Kort møgbille",Torbister,
"Aphodius coenosus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Panzer, 1798)",Hedemøgbille,Torbister,
"Aphodius conspurcatus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",Vintermøgbille,Torbister,
"Aphodius contaminatus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1783)","Sandhåret møgbille",Torbister,
"Aphodius depressus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Kugelann, 1792)","Flad møgbille",Torbister,
"Aphodius distinctus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Müller, 1776)","Tidlig møgbille",Torbister,
"Aphodius erraticus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Vagabonderende møgbille",Torbister,
"Aphodius fasciatus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",EN,Ja,"Olivier, 1847",,Torbister,uliginosus
"Aphodius fimetarius",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT,Ja,"(Linnaeus, 1758)","Lakrød møgbille",Torbister,
"Aphodius foetens",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1787)","Rødbuget møgbille",Torbister,
"Aphodius foetidus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"(Herbst, 1783)",,Torbister,
"Aphodius fossor",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Stor møgbille",Torbister,
"Aphodius granarius",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1767)",,Torbister,
"Aphodius haemorrhoidalis",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Rødhalet møgbille",Torbister,
"Aphodius ictericus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT,Ja,"(Laicharting, 1781)","Slank møgbille",Torbister,
"Aphodius immundus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"Creutzer, 1799","Matgul møgbille",Torbister,
"Aphodius luridus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT,Ja,"(Fabricius, 1775)","Ternet møgbille",Torbister,
"Aphodius merdarius",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"(Fabricius, 1775)",Stregmøgbille,Torbister,
"Aphodius nemoralis",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Erichson, 1848",,Torbister,
"Aphodius obliteratus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"Sturm, 1823",Oktobermøgbille,Torbister,
"Aphodius paykulli",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Bedel, 1907",,Torbister,
"Aphodius pictus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Sturm, 1805",,Torbister,
"Aphodius plagiatus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1767)","Lille jordmøgbille",Torbister,
"Aphodius porcus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT,Ja,"(Fabricius, 1792)",Snyltemøgbille,Torbister,
"Aphodius prodromus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Brahm, 1790)","Almindelig møgbille",Torbister,
"Aphodius pusillus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1789)","Lille møgbille",Torbister,
"Aphodius quadriguttatus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"(Herbst, 1783)","Fireplettet møgbille",Torbister,
"Aphodius rufipes",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Rødbenet møgbille",Torbister,
"Aphodius rufus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Moll, 1782)","Mahognibrun møgbille",Torbister,scybalarius
"Aphodius scrofa",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",EN,Ja,"(Fabricius, 1787)","Lille hårmøgbille",Torbister,
"Aphodius sordidus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"(Fabricius, 1775)",,Torbister,
"Aphodius sphacelatus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Panzer, 1798)",,Torbister,
"Aphodius sticticus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Panzer, 1798)",Skovmøgbille,Torbister,equestris
"Aphodius subterraneus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",EN,Ja,"(Linnaeus, 1758)",,Torbister,
"Aphodius tomentosus",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"(Müller, 1776)","Stor hårmøgbille",Torbister,
"Aphodius varians",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"Duftschmid, 1805","Stor jordmøgbille",Torbister,
"Aphodius zenkeri",Aphodius,Aphodiini,Aphodiinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Germar, 1813",Skyggemøgbille,Torbister,
"Aphthona atrocaerulea",Aphthona,Alticini,Galerucinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Stephens, 1831)",,Bladbiller,cyanella
"Aphthona euphorbiae",Aphthona,Alticini,Galerucinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Schrank, 1781)","Grønlig hørjordloppe",Bladbiller,
"Aphthona lutescens",Aphthona,Alticini,Galerucinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Gyllenhal, 1813)",,Bladbiller,
"Aphthona nonstriata",Aphthona,Alticini,Galerucinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Goeze, 1777)",,Bladbiller,coerulea
"Apion aeneum",Apion,Apionini,Apioninae,Brentidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1775)",,Spidsmussnudebiller,
"Apion aethiops",Apion,Apionini,Apioninae,Brentidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Herbst, 1797",,Spidsmussnudebiller,
"Apion affine",Apion,Apionini,Apioninae,Brentidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Kirby, 1808",,Spidsmussnudebiller,
"Apion apricans",Apion,Apionini,Apioninae,Brentidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Herbst, 1797",,Spidsmussnudebiller,
"Apion armatum",Apion,Apionini,Apioninae,Brentidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"Gerstaecker, 1854",,Spidsmussnudebiller,
"Apion assimile",Apion,Apionini,Apioninae,Brentidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Kirby, 1808",,Spidsmussnudebiller,
"Apion astragali",Apion,Apionini,Apioninae,Brentidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Paykull, 1800)",Astragelsnudebille,Spidsmussnudebiller,
"Apion atomarium",Apion,Apionini,Apioninae,Brentidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Kirby, 1808",,Spidsmussnudebiller,
"Apion atratulum",Apion,Apionini,Apioninae,Brentidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Germar, 1817",,Spidsmussnudebiller,striatum
